step hella 0.2472
0 train 10.950871
1 train 10.615311
2 train 10.279017
3 train 10.002991
4 train 9.810886
5 train 9.679127
6 train 9.635775
7 train 9.603816
8 train 9.548064
9 train 9.481034
3 train 9.428820
11 train 9.374130
12 train 9.337677
13 train 9.288860
14 train 9.174075
15 train 9.099133
16 train 9.032265
17 train 8.906091
18 train 8.835366
19 train 8.667809
3 train 8.649120
21 train 8.592383
22 train 8.539916
23 train 8.451882
24 train 8.275635
25 train 8.192451
26 train 8.092916
27 train 7.992547
28 train 7.917694
29 train 7.870561
3 train 7.817666
31 train 7.723216
32 train 7.683581
33 train 7.592134
34 train 7.566926
35 train 7.510183
36 train 7.410923
37 train 7.326546
38 train 7.257813
39 train 7.300227
3 train 7.242907
41 train 7.215891
42 train 7.224173
43 train 7.376725
44 train 7.235265
45 train 7.133061
46 train 7.161570
47 train 7.078875
48 train 7.128778
49 train 7.262452
3 train 7.152633
51 train 7.149420
52 train 7.158557
53 train 7.163245
54 train 7.160974
55 train 7.140308
56 train 7.081382
57 train 7.037210
58 train 6.990864
59 train 7.001310
3 train 6.963380
61 train 6.919107
62 train 7.066613
63 train 7.087797
64 train 6.957441
65 train 6.999348
66 train 6.950850
67 train 6.818144
68 train 6.802053
69 train 6.891088
3 train 6.887757
71 train 6.753896
72 train 6.930242
73 train 6.905095
74 train 6.887550
75 train 6.752992
76 train 6.870251
77 train 6.791550
78 train 6.694431
79 train 6.694843
3 train 6.627601
81 train 6.640818
82 train 6.779991
83 train 6.732608
84 train 6.697620
85 train 6.645812
86 train 6.626441
87 train 6.573152
88 train 6.576287
89 train 6.561388
3 train 6.562584
91 train 6.559586
92 train 6.491941
93 train 6.540176
94 train 6.651283
95 train 6.664088
96 train 6.707760
97 train 6.625054
98 train 6.628810
99 train 6.575474
3 train 6.561611
101 train 6.660841
102 train 6.619021
103 train 6.588739
104 train 6.534248
105 train 6.559545
106 train 6.496963
107 train 6.493929
